Manzana	Lote	Superficie Privativa	Estatus	Categoría	Precio m2
	48	 1,597.72 	RESERVADO	Plus	355
	49	 3,138.40 	RESERVADO	Plus	355
	50	 22,572.42 	RESERVADO	Plus	355
X	1	 1,180.69 	DISPONIBLE	Plus	355
	2	 1,335.27 	DISPONIBLE	Plus	355
	3	 1,380.61 	DISPONIBLE	Plus	355
	4	 1,029.11 	DISPONIBLE	Plus	355
	5	 1,015.76 	DISPONIBLE	Plus	355
	6	 1,025.27 	DISPONIBLE	Plus	355
	7	 1,167.37 	DISPONIBLE	Plus	355
	8	 1,169.99 	DISPONIBLE	Plus	355
	9	 1,164.76 	DISPONIBLE	Plus	355
	10	 1,167.37 	DISPONIBLE	Plus	355
	11	 1,167.37 	DISPONIBLE	Plus	355
	12	 1,117.16 	DISPONIBLE	Plus	355
	13	 1,057.37 	DISPONIBLE	Plus	355
	14	 1,057.37 	DISPONIBLE	Plus	355
	15	 1,016.49 	DISPONIBLE	Plus	355
	16	 1,092.30 	DISPONIBLE	Plus	355
	17	 1,055.56 	DISPONIBLE	Plus	355
	18	 1,055.56 	DISPONIBLE	Plus	355
	19	 1,055.56 	VENDIDO	Plus	355
	20	 1,055.56 	VENDIDO	Plus	355
	21	 1,055.56 	VENDIDO	Plus	355
	22	 1,055.56 	RESERVADO	Plus	355
	23	 1,614.31 	RESERVADO	Plus	355
	24	 1,818.63 	RESERVADO	Plus	355
	25	 1,031.22 	RESERVADO	Plus	355
	26	 1,031.22 	VENDIDO	Plus	355
	27	 1,031.22 	VENDIDO	Plus	355
	28	 1,031.22 	VENDIDO	Plus	355
	29	 1,031.22 	VENDIDO	Plus	355
	30	 1,031.22 	APARTADO	Plus	355
	31	 1,031.22 	VENDIDO	Plus	355
	32	 1,052.61 	VENDIDO	Plus	355
	33	 1,064.80 	DISPONIBLE	Plus	355
	34	 1,064.80 	DISPONIBLE	Plus	355
	35	 1,000.61 	DISPONIBLE	Plus	355
	36	 1,009.37 	DISPONIBLE	Plus	355
	37	 1,009.37 	DISPONIBLE	Plus	355
	38	 1,009.37 	DISPONIBLE	Plus	355
	39	 1,009.37 	DISPONIBLE	Plus	355
	40	 1,009.37 	DISPONIBLE	Plus	355
	41	 1,009.37 	DISPONIBLE	Plus	355
